Yes,Quality-related aspects,Price and value,Performance and functionality,Design and features,Ease of use and usability
در مقابل قیمتش نظرات خوبی داشت و واقعا کار راه بندازه البته که من فعلا چندبار کار کردم باهاش حتمأ وقت بزارم میشه باهاش خواسته هام براورده بشه در کل بنظرم برای مصرف خونگی خوبه البته دوستان گفتند که تو کافی شاپ و اینا هم کلی کار راه انداخته در نهایت فقط دستگاه استفاده شده بود خیلی حس بدی بود تا الان تصمیم به مرجوع کردن داشتم که خیلی سخت بود برام و بیخیال شدم انشالله که کار دستگاه این موضوع رو جبران کنه,Yes,Yes,Yes,No,Yes
"دوستان دیگه ای که نظر گذاشتن تقریبا همه چیزو گفتن و چیزی از قلم نیافتاده منم بیشتر از این نمیگم، فقط چندتا عکس میزارم از داخل محصول ببینید قطعاتش چیه. اون قرمزه پمپه.",No,No,No,No,No
نسبت به قیمت عالی و با فشار بسیار خوب. حتی در حد نیمه صنعتی میشه استفاده کرد .,Yes,Yes,Yes,No,No
به نظرم دستگاهی خانگی و مناسب برای رفع نیاز های عادی روزانه خانواده با قیمتی بسیار عالی,Yes,Yes,Yes,No,No
به نسبت قیمتش برای خونگی خوبه .عصاره خیلی خوبی میگیره از قهوه با کف بالا و ماندگار.من با گارانتی گرفتم ولی فعلا که خداروشکر مشکلی نداشته.,Yes,Yes,Yes,No,No
"ببینید دوستان من چندتا از دستگاه ها و استفاده کردم تو کافه خودم,این برند خیلی کاراتر از دستگاه های پنج میلیونی هست",No,Yes,Yes,No,No
آقا سه روزه دستگاه به دستم رسیده چنتا ایراد خوشگل داره حیفم اومد نگم پایینش یه سوراخ داره که آب ازش میاد قشنگ همه کمد رو تا صب آب برداشت و رویه کمدمون خراب شد بعد که دیدم انگار جای یه پیچ کلا حفرس که مجبور شدم نایلون بذارم جاش قهوه تازه خیلی با کیفیت گرفتم ولی کرمای خوبی میده تقریبا و از دومین اسپرسویی که بزنید طعم سوختگی میده ینی اصلا راضی نیستم و موکاپات خیلی خیلی خوشمزه تر درست میکنه,Yes,No,Yes,Yes,No
نشتی آب داشت من فکر میکردم از مخزن آبه ولی نبود و داخل دستگاه ایراد داشت,Yes,No,Yes,No,No
برای من داخلش صدا میداد انگار یچیزی شکسته داخلش مرجوع کردم جنس بدنه هم بسیار ضعیفه در ضمن ظرفیت پایینی هم داره فوقش ۲کاپ نصفه بده همینقدر بذارید روش یکی بهترشو بخرید,Yes,No,Yes,Yes,No
نظرات دیگران رو خوندم و دیدم با یک قیمت مناسب بهترین دستگاه موجود همینه اولین اسپرسو هم زدم و هم شیر گرم کردم هم فوم شیر گرفتم خیلی خوب بود فقط در دفعه اول که استفاده کردم صدا زیادی میداد.,Yes,Yes,Yes,No,No
در حد خود دستگاه خوبی است واحتمالا جای گرمکن لیوان در روی صفحه استیل دستگاه که گرم میشود می باشد با تشکر او زحمتکشان دیجی کالا,Yes,No,No,No,No
من هفته گذشته خریداری کردم چند باری ازش قهوه گرفتم از نازل بخارش هم واسه کف شیر استفاده کردم در کل راضی کننده بود...این رو بگم که به جز یکی دو برند معروف بقیه دستگاه ها در چین و با کیفیت مشابه زده میشه پس در انتخاب دقت کنید حتما... یه گله هم دارم وقتی برای فروشنده قیمت پایینتر صرف میکنه پس از اول یه قیمت منطقی بگه نه این که ظرف مدت سه روز یهو 2YesYes هزارتومن افت قیمت بده که ادم حسش نسبت به خریدش بد بشه امیدوارم در درازمدت کیفیت خودش رو نشون بده,Yes,Yes,Yes,No,No
سلام محصول خیلی زود و صد البته صحیح و سالم به دستم رسید با تشکر از فروشنده محترم .برای مصرف خونگی عالیههههه.....برای فوم گیری حتما از پیچر استفاده کنید تا فوم مخملی عالی تحویل بگیرید و کیفیت اسپرسو هم عالیه,Yes,No,Yes,No,No
طراحی زیبایی داره قهوه با کیفیتی درست میکنه گرمکن لیوان داره مناسب ترین اسپرسو ساز خانگی و ۴ مدل قهوه برات درست میکنه من واقعا راضی بودم,Yes,No,Yes,Yes,No
دستگاهو که از بسته بندی باز کردم دیدم پر از لکه قهوه هستش و دستمال کشی شده روش.درضمن قسمت بالایی دستگاه و درب ظرف اب پر از خط و خشه. متاسفم که نظارت روی کالای ارسالی نیست.,Yes,No,No,No,No
"اسپرسو ساز رو از وقتی سفارش دادم تا وقتی ک رسید یک ماه طول کشید!!! وقتی بازش کردم قسمت مخزنش خیس بود ولی قسمت اسپرسو سازش بوی قهوه نمیداد، من بنا رو میزارم بر اینکه خواستن تستش کنن! بعد از ۲ هفته الان ک روشنش میکنم و چراغ سبز که نشانگر جوش آمدن آب هست، روشن میشه، از قسمت اسپرسو سازیش شروع میکنه به چکه کردن زیاد، مثلا من میخوام کاپوچینو درست کنم، دارم با اهرم بخار کار میکنم ولی از قسممت اسپرسو سازش داره آب با سرعت چکه میکنه! که بعد از حدود ۱۰_۲۰ ثانیه خوب میشه! ",Yes,No,Yes,No,Yes
با سلام خدمت دوستان عزیز دستگاه های زیگما واقعا عالی هستن ولی بنظر بنده مدل 333 بگیرید که هم قویتره و هم 2Yes باره وتفاوت قیمتیش هم حدود 5Yes هزار تومان گرونتره که واقعا عالیه,Yes,Yes,Yes,No,No
"هیچی ایرادی نمیتونم روش بزارم، باهاش اسپرسو، لاته، کاپوچینو درست کردم و واقعا بی نظیره. اما حتما دفترچه انگلیسی شو بخونيد نه فارسی چون خیلی فرق دارند.",Yes,No,Yes,No,No
یکم تجربه میخواد برای بهترین استفاده رو ازش کنید.تو آپارت هست فیلمش.برای من راضی کننده بود واقعا.بسته بندی عالی پلمپ شده.خامه عالی میده.قهوه خوب میده,Yes,No,Yes,No,Yes
با سلام عرض ادب خدمت عوامل محترم دیجی کالا دستگاه به موقع به دستم رسید و از فروشنده که وقت گذاشتن وفیلم ارسال کردن جهت کار با دستگاه قهوه ساز زیگما کمال تشکر و قدردانی را دارم واقعا نسبت به قیمتش فوق‌العاده است به دیگران هم توصیه میکنم عالیه,Yes,Yes,No,No,No
من خیلی تحقیق کردم و در نهایت این و محصول و خریدم تمام اسپرسوساز ها تا پنج تومن یه کارایی دارند اگه دنبال چیتان پیتان نیستید همین و بگیرید قیمتش عالیه و همون کار مباشی و نوا و بقیه رو میکنه فقط دقت کنید توی آسیاب کردن قهوه چون اگه آسیابتون خوب نباشه توی فیلتر قهوه آب جمع میشه و دستگاه به مرور از کیفیتش کم میشه آسیاب قهوه و تمپیر خیلی مهمه درضمن اونایی که میگن آب میچکه تا چند قطره واقعا طبیعیه پس اینو ملاک نکنید,No,Yes,No,No,Yes
تو خریدش شک داشتم ولی کیفیت قهوه ای که داد فرقی با قهوه ساز ۵ تومنی که تو خونه داشتم نمیکرد حتی بهتر هم بود.کار باهاش خیلی راحته. جا کم میگیره و مخزن اب بزرگی داره.,Yes,Yes,Yes,Yes,Yes
عزیزانم واقعا من خریدارم ابوبکر صدیقی از شهرستان خواف هستم این دستگاه و خریدم واقعا عالیه خداییش شک نکنید یک ساله دارم اسپرسو عالی فقط میگن اب جوشیده یا تصفیه بریز که تا الان ریختم,Yes,No,Yes,No,Yes
من بار اول که خرید کردم کالای ارسالی از چند جا شکسته بود که مرجوع کردم و مجدد سفارش دادم که خوشبختانه سالم بود . این اسپرسوساز قیمت خوبی داره و برای استفاده روزانه در خانه و‌محل کار مناسبه برای راه اندازیش سریع رفتم توی آپارات و بصورت تصویری یاد گرفتم برای ساخت اسپرسو و سایر نوشیدنیهایی که این دستگاه میسازه توی اینترنت سرچ کنید و تصویری راحت ببینید کاری که من کردم.,Yes,Yes,Yes,No,Yes
برای دیجی کالا خیلی متاسفم قبل از راه انداری دستگاه متوجه شوره نازل شدم که نشان میداد که قبلا دستگاه استفاده شده ولی اعتنایی نکردم و دستگاه راه انداری کردم و متوجه شدم که کلید قهوه گیری خراب بوده و آب دستگاه گرم نمی شود و من بدلیل عدم فرصت کافی دستگاه مرجوع نکردم و در حال حاضر با کلید بخار قهوه می گیرم که فشار مضاعف به دستگاه و عدم کیفیت کافی را دارد.و کلا من و همکاران اینجانب هیچ گونه اطمینانی نسبت به سفارش کالا از دیجی کالا نداریم و به کسی هم توصیه نمیکنیم. واقعا برایتان مت ...,Yes,No,Yes,No,No
برای محل کارم خریدم . در مقابل Nova که توی خونه دارم حرفی برای گفتن نداره اما با توجه به قیمتش بد نیست .,Yes,Yes,Yes,No,No
"خوب هست و به نظرم تا قیمت پنج میلیون تومان همه‌ی اسپرسوساز‌ها در یه حد از کیفیت هستند، فقط دقت کنید مدل ۲۲۲ زیگما ۱۵ بار هست و مدل ۳۳۳ زیگما ۲۰ بار مساله بعد هم اینه که همین مدل رو توی بازار با قیمت حدود چهارصد هزار تومان ارزونتر هم میتونید بخرید، من خودم بعد از خرید متوجه شدم",Yes,Yes,Yes,No,No
این دستگاه همونی بود که من تو تصویر دیدم کاریی عالی میزان فشار درست قهوه که دریافت کردم عالی ارسال دستگاه توسط دیجی کالا به موقع,Yes,No,Yes,No,No
سلام دستگاه خیلی خوبیه هم اسپرسوی خوب و خوش طعمی میده نصبت به اسپرسو ساز های موکاپات هم خامه خوبی میده هم فوم شیر خوبی میده عین خامه خیلی دستگاه خوبیه برای استفاده خانگی من کنار سبد قهوه خود دستگاه که همراه خود دستگاه هست یه سبد قهوه تک شات هم گرفتم که برای استفاده خودم به اندازه یک شات قهوه درست کنم که قهوه زیادی حیف نشه اصراف نشه حتما تهیه کنین و لذتشو ببرین دستگاهیه که ناراضی تون نمیکنه خیلی خوبه,Yes,No,Yes,No,No
من این دستگاه رو برگردوندم برای اینکه با قهوه ساز دلونگی قدیمی‌ام هیچ تفاوتی نداشت وگرنه به نظرم نسبت به قیمت کاربردی میاد.,No,Yes,Yes,No,No
این دستگاه برای مصارف خانگی بسیار خوب است کیفیت اسپرسو مناسب و همچنین ظاهر کناسبی دارد با توجه به قیمت دستگاه های مشابه مناسب است,Yes,Yes,Yes,Yes,No
وقتی خریدید حتما چک کنیدنو باشه .جنس اصلی نیست.موقعی که خریدم خیلی از زیرش اب می داد,Yes,No,Yes,No,No
من حدود ۱۰ روزه خریدم و فعلا که خوبه من با توجه به نظرات خریداران این دستگاه را خریدم که حدود ۹۰ درصد درست بود کار با دستگاه نیاز به تجربه داره که پس از چند روز قلقش دستتون میاد و اسپرسو و فوم شیر عالی میده البته اولش بلد نبودم ولی بعدش متوجه شدم در ضمن اگر خریدید به دفترچه راهنماش توجهی نکنید د تو گوگل نحوه کار با این دستگاه را سرچ کنید کلیپ اموزشی خوبی هست حدود ۶ دقیقه دوستان عزیز مجددا تاکید میکنم من حدود ۱۰ روزه خریدم و در بلند مدت نمی دونم کیفیتش چگونه هست,Yes,No,Yes,No,Yes
من از فروشنده آریان پارسارگاد لیان خریدم خیلی بی انصافن چون کالای مرجوعی رو برای من فرستادن و بسته بندیش باز شده بود و من دیدم کلا کار هم نمیکنه و باید مرجوع کنم واقعا که خیلی خورد تو ذوقم,Yes,No,No,No,No
برای مصرف خانگی عالیه عالیه ما تقریبا ازش روزی ده شات یا بیشتر میگیریم عالیه فقط برای کسایی که تا بحال نداشتن حتما باید نظافتشو و ابی که میریزید داخلشو رعایت کنید که سال ها داشته باشیدش,Yes,No,Yes,No,Yes
